user_id,mean,std,lower_threshold,upper_threshold
1,386.85885167464113,584.4442688628094,-1366.473954913787,2140.1916582630693
2,411.7232905982906,553.2559854010633,-1248.0446656048994,2071.4912468014804
3,619.9165644171779,1012.4135685658271,-2417.324141280303,3657.1572701146592
4,226.88318584070797,442.50158931129727,-1100.6215820931839,1554.3879537745997
5,319.3267326732673,274.2731052945485,-503.49258321037814,1142.1460485569128
6,1389.3939393939395,1617.8089724105628,-3464.0329778377486,6242.820856625627
